NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LOG OF SALE PRICE
GRAMERCY,08RENTALS-ELEVATORAPARTMENTS,2,874,60,D1,78IRVINGPLACE,10003.0,15.0,1.0,16.0,2880.0,16069.0,1920.0,2,D1,17900000.0,2013-06-14,16.70031127081098
GRAMERCY,14RENTALS-4-10UNIT,2A,874,42,S4,216THIRDAVENUE,10003.0,4.0,1.0,5.0,1080.0,4320.0,1900.0,2,S4,3615000.0,2013-01-16,15.100602413575002
GREENWICHVILLAGE-CENTRAL,02TWOFAMILYHOMES,1,529,54,S2,25BLEECKERSTREET,10001.0,2.0,1.0,3.0,1360.0,2962.0,1899.0,1,S2,3800000.0,2013-10-04,15.150511624696614
GREENWICHVILLAGE-CENTRAL,02TWOFAMILYHOMES,1,539,36,S2,157BLEECKERSTREET,10012.0,2.0,1.0,3.0,2500.0,5100.0,1901.0,1,S2,5300000.0,2012-12-31,15.483217378522351
GREENWICHVILLAGE-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,540,9,C7,120MACDOUGALSTREET,10012.0,26.0,2.0,28.0,2500.0,13618.0,1910.0,2,C7,9500000.0,2012-08-30,16.06680235657077
GREENWICHVILLAGE-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,552,33,C7,143WEST4THSTREET,10012.0,11.0,1.0,12.0,2855.0,10570.0,1900.0,2,C7,11325000.0,2012-08-14,16.242523229333372
GREENWICHVILLAGE-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,576,53,C7,21WEST12THSTREET,10011.0,8.0,1.0,9.0,2662.0,8750.0,1920.0,2,C7,7650000.0,2012-12-17,15.850216205802719
GREENWICHVILLAGE-CENTRAL,14RENTALS-4-10UNIT,2A,526,59,S4,180BLEECKERSTREET,10012.0,4.0,1.0,5.0,1647.0,4064.0,1900.0,2,S4,4225000.0,2012-11-15,15.25652981877341
GREENWICHVILLAGE-CENTRAL,14RENTALS-4-10UNIT,2A,529,43,S3,3BLEECKER,10012.0,3.0,1.0,4.0,1000.0,3741.0,1900.0,2,S3,3095050.0,2012-05-11,14.945314619059195
GREENWICHVILLAGE-CENTRAL,14RENTALS-4-10UNIT,2A,529,140,S3,324BOWERY,10012.0,3.0,1.0,4.0,1002.0,4009.0,1920.0,2,S3,2834975.0,2012-05-11,14.857543676762957
GREENWICHVILLAGE-CENTRAL,14RENTALS-4-10UNIT,2A,537,29,S4,532LAGUARDIAPLACE,10012.0,4.0,1.0,5.0,1875.0,7665.0,1900.0,2,S4,7650000.0,2012-12-17,15.850216205802719
GREENWICHVILLAGE-CENTRAL,22STOREBUILDINGS,4,543,42,K4,150WEST4THSTREET,10012.0,2.0,1.0,3.0,1763.0,2481.0,1950.0,4,K4,1050000.0,2013-12-02,13.864300722133706
GREENWICHVILLAGE-WEST,01ONEFAMILYHOMES,1,613,49,S1,208WEST11THSTREET,10014.0,1.0,1.0,2.0,1062.0,3040.0,1910.0,1,S1,6150000.0,2013-01-05,15.631962639782701
GREENWICHVILLAGE-WEST,02TWOFAMILYHOMES,1,527,91,S2,27DOWNINGSTREET,10014.0,2.0,1.0,3.0,1750.0,4850.0,1899.0,1,S2,7275000.0,2013-05-04,15.79995437102183
GREENWICHVILLAGE-WEST,02TWOFAMILYHOMES,1,615,4,B1,307WEST4THSTREET,10014.0,2.0,1.0,2.0,1440.0,3710.0,1899.0,1,B1,12500000.0,2013-05-22,16.34123920227253
GREENWICHVILLAGE-WEST,02TWOFAMILYHOMES,1,625,42,S2,158AVENUE,10014.0,2.0,1.0,3.0,840.0,2400.0,1920.0,1,S2,3500000.0,2013-03-06,15.068273526459642
GREENWICHVILLAGE-WEST,07RENTALS-WALKUPAPARTMENTS,2,527,72,C7,228BLEECKERSTREET,10014.0,25.0,3.0,28.0,3500.0,16205.0,1900.0,2,C7,18700000.0,2012-12-17,16.744034081824815
GREENWICHVILLAGE-WEST,07RENTALS-WALKUPAPARTMENTS,2,603,65,C7,455HUDSONSTREET,10014.0,39.0,2.0,41.0,5000.0,21732.0,1920.0,2,C7,5400000.0,2012-09-24,15.501909511534503
GREENWICHVILLAGE-WEST,07RENTALS-WALKUPAPARTMENTS,2,610,64,C7,9CHRISTOPHERSTREET,10014.0,13.0,2.0,15.0,3465.0,13500.0,1940.0,2,C7,12000000.0,2012-05-12,16.300417207752275
GREENWICHVILLAGE-WEST,07RENTALS-WALKUPAPARTMENTS,2,614,56,C7,2BANKSTREET,10014.0,20.0,2.0,22.0,3870.0,17733.0,1926.0,2,C7,8499562.0,2013-08-03,15.955525190721094
GREENWICHVILLAGE-WEST,07RENTALS-WALKUPAPARTMENTS,2,619,83,C7,89CHRISTOPHERSTREET,10014.0,20.0,2.0,22.0,2400.0,10950.0,1910.0,2,C7,13500000.0,2013-06-25,16.41820024340866
GREENWICHVILLAGE-WEST,07RENTALS-WALKUPAPARTMENTS,2,619,83,C7,89CHRISTOPHERSTREET,10014.0,20.0,2.0,22.0,2400.0,10950.0,1910.0,2,C7,6500000.0,2012-12-19,15.687312734865866
GREENWICHVILLAGE-WEST,08RENTALS-ELEVATORAPARTMENTS,2,614,61,D8,201WEST11THSTREET,10014.0,42.0,8.0,50.0,7800.0,38478.0,1920.0,2,D8,48000000.0,2012-12-13,17.686711568872166
